pickup_datetime,pickup_borough,trip_count,avg_trip_distance,avg_fare,avg_duration,pickup_latitude,pickup_longitude,hour,day_of_week,month,is_weekend,is_rush_hour,is_night
2024-01-01 07:00:00,Unknown,5,4.614,40.720000000000006,8.983333333333333,,,7,0,1,0,1,0
2024-01-01 08:00:00,Bronx,15,5.887333333333333,22.947999999999997,15.08222222222222,40.8448,-73.8648,8,0,1,0,1,0
2024-01-01 08:00:00,Brooklyn,25,6.6648000000000005,29.5348,20.900666666666666,40.6782,-73.9442,8,0,1,0,1,0
2024-01-01 08:00:00,Manhattan,823,4.572150668286756,21.744046172539488,12.150850546780072,40.7831,-73.9712,8,0,1,0,1,0
2024-01-01 08:00:00,Queens,224,13.315982142857143,52.722098214285715,22.434598214285717,40.7282,-73.7949,8,0,1,0,1,0
2024-01-01 08:00:00,Unknown,7,5.247142857142857,40.114285714285714,13.392857142857142,,,8,0,1,0,1,0
2024-01-01 09:00:00,Bronx,6,2.9599999999999995,17.833333333333332,8.377777777777778,40.8448,-73.8648,9,0,1,0,1,0
2024-01-01 09:00:00,Brooklyn,10,3.844,25.026999999999997,14.413333333333332,40.6782,-73.9442,9,0,1,0,1,0
2024-01-01 09:00:00,Manhattan,1014,3.6598224852071004,18.19092702169625,10.801594345825116,40.7831,-73.9712,9,0,1,0,1,0
2024-01-01 09:00:00,Queens,318,11.952327044025157,48.2425786163522,21.025524109014675,40.7282,-73.7949,9,0,1,0,1,0
2024-01-01 09:00:00,Unknown,5,7.944,25.278,15.513333333333332,,,9,0,1,0,1,0
2024-01-01 10:00:00,Brooklyn,20,6.5409999999999995,25.7295,17.393333333333334,40.6782,-73.9442,10,0,1,0,0,0
2024-01-01 10:00:00,Manhattan,1653,3.204204476709014,16.688669086509375,10.851845130066545,40.7831,-73.9712,10,0,1,0,0,0
2024-01-01 10:00:00,Queens,452,11.996150442477877,48.10966814159292,21.152507374631266,40.7282,-73.7949,10,0,1,0,0,0
2024-01-01 10:00:00,Unknown,10,6.202,23.984,11.055,,,10,0,1,0,0,0
2024-01-01 11:00:00,Bronx,6,2.9066666666666667,13.656666666666666,12.619444444444445,40.8448,-73.8648,11,0,1,0,0,0
2024-01-01 11:00:00,Brooklyn,27,5.7881481481481485,27.094814814814814,19.886419753086418,40.6782,-73.9442,11,0,1,0,0,0
2024-01-01 11:00:00,Manhattan,2367,3.0225771018166454,16.307232784114913,11.301858893113646,40.7831,-73.9712,11,0,1,0,0,0
2024-01-01 11:00:00,Queens,366,11.906284153005464,47.91101092896175,21.907513661202184,40.7282,-73.7949,11,0,1,0,0,0
2024-01-01 11:00:00,Unknown,13,3.303846153846154,16.56923076923077,10.035897435897436,,,11,0,1,0,0,0
2024-01-01 12:00:00,Bronx,3,7.039999999999999,36.71,21.822222222222223,40.8448,-73.8648,12,0,1,0,0,0
2024-01-01 12:00:00,Brooklyn,33,7.4342424242424245,29.87242424242424,21.886363636363637,40.6782,-73.9442,12,0,1,0,0,0
2024-01-01 12:00:00,Manhattan,3105,2.9389210950080518,16.021127214170694,11.736242619431025,40.7831,-73.9712,12,0,1,0,0,0
2024-01-01 12:00:00,Queens,346,11.912976878612717,49.35413294797687,23.147880539499038,40.7282,-73.7949,12,0,1,0,0,0
2024-01-01 12:00:00,Unknown,14,3.5285714285714285,18.516428571428573,12.89047619047619,,,12,0,1,0,0,0
2024-01-01 13:00:00,Bronx,4,13.237499999999999,45.05,39.85,40.8448,-73.8648,13,0,1,0,0,0
2024-01-01 13:00:00,Brooklyn,21,7.270476190476191,38.308571428571426,28.326190476190476,40.6782,-73.9442,13,0,1,0,0,0
2024-01-01 13:00:00,Manhattan,3181,3.171483810122603,17.233872995913234,13.06595934192602,40.7831,-73.9712,13,0,1,0,0,0
2024-01-01 13:00:00,Queens,413,13.416004842615013,55.58651331719128,25.867958030669897,40.7282,-73.7949,13,0,1,0,0,0
2024-01-01 13:00:00,Unknown,16,4.76625,27.881875,14.984375,,,13,0,1,0,0,0
2024-01-01 14:00:00,Bronx,14,8.790714285714285,35.72,26.273809523809522,40.8448,-73.8648,14,0,1,0,0,0
2024-01-01 14:00:00,Brooklyn,34,6.027941176470588,31.700294117647058,23.851470588235294,40.6782,-73.9442,14,0,1,0,0,0
2024-01-01 14:00:00,EWR,1,0.01,20.0,0.85,40.6895,-74.1745,14,0,1,0,0,0
2024-01-01 14:00:00,Manhattan,3578,3.2447372833985466,18.20732811626607,13.942486491522265,40.7831,-73.9712,14,0,1,0,0,0
2024-01-01 14:00:00,Queens,438,13.42648401826484,55.4213698630137,29.050494672754947,40.7282,-73.7949,14,0,1,0,0,0
2024-01-01 14:00:00,Unknown,14,3.767857142857143,20.55,15.053571428571429,,,14,0,1,0,0,0
2024-01-01 15:00:00,Bronx,15,6.923333333333333,29.603333333333335,18.017777777777777,40.8448,-73.8648,15,0,1,0,0,0
2024-01-01 15:00:00,Brooklyn,44,5.525227272727273,29.288636363636364,22.240151515151517,40.6782,-73.9442,15,0,1,0,0,0
2024-01-01 15:00:00,Manhattan,3666,3.014405346426623,17.1373431533006,13.562729587197673,40.7831,-73.9712,15,0,1,0,0,0
2024-01-01 15:00:00,Queens,615,13.722926829268292,58.218585365853656,36.041300813008135,40.7282,-73.7949,15,0,1,0,0,0
2024-01-01 15:00:00,Unknown,19,6.2,30.815263157894737,20.223684210526315,,,15,0,1,0,0,0
2024-01-01 16:00:00,Bronx,2,12.005,38.175,33.325,40.8448,-73.8648,16,0,1,0,0,0
2024-01-01 16:00:00,Brooklyn,22,7.374090909090909,36.47681818181818,26.61666666666667,40.6782,-73.9442,16,0,1,0,0,0
2024-01-01 16:00:00,EWR,1,17.0,118.0,0.2833333333333333,40.6895,-74.1745,16,0,1,0,0,0
2024-01-01 16:00:00,Manhattan,3366,2.8814081996434937,16.85015745692216,13.085170330758567,40.7831,-73.9712,16,0,1,0,0,0
2024-01-01 16:00:00,Queens,696,13.602844827586207,56.934454022988504,33.078663793103445,40.7282,-73.7949,16,0,1,0,0,0
2024-01-01 16:00:00,Unknown,12,3.8841666666666668,38.891666666666666,14.166666666666666,,,16,0,1,0,0,0
2024-01-01 17:00:00,Bronx,4,9.2025,39.44,28.795833333333334,40.8448,-73.8648,17,0,1,0,1,0
2024-01-01 17:00:00,Brooklyn,18,5.388888888888889,23.93722222222222,21.978703703703705,40.6782,-73.9442,17,0,1,0,1,0
2024-01-01 17:00:00,EWR,2,0.030000000000000002,85.0,2.316666666666667,40.6895,-74.1745,17,0,1,0,1,0
2024-01-01 17:00:00,Manhattan,3052,2.6820773263433813,16.25527195281782,13.336953910004368,40.7831,-73.9712,17,0,1,0,1,0
2024-01-01 17:00:00,Queens,597,12.841658291457287,52.602646566164154,29.742741485203798,40.7282,-73.7949,17,0,1,0,1,0
2024-01-01 17:00:00,Unknown,10,2.27,18.990000000000002,10.546666666666667,,,17,0,1,0,1,0
2024-01-01 18:00:00,Bronx,2,1.205,17.915,7.283333333333333,40.8448,-73.8648,18,0,1,0,1,0
2024-01-01 18:00:00,Brooklyn,25,6.916,31.0648,26.127333333333336,40.6782,-73.9442,18,0,1,0,1,0
2024-01-01 18:00:00,Manhattan,2891,2.480653753026634,15.621456243514354,13.045278450363197,40.7831,-73.9712,18,0,1,0,1,0
